"adm1","area__ha","umd_tree_cover_extent_2000__ha","iso"
1,3376289.9748066817,641017.7429098361,"MMR"
2,3852028.7160228183,1788486.5921877036,"MMR"
3,3681316.983501411,3195189.9375043865,"MMR"
4,8874410.777843788,7770292.414167812,"MMR"
5,1166830.6660374035,885124.9352868164,"MMR"
6,2995409.0047003184,2405733.1086980253,"MMR"
7,4400963.464962501,1006299.2920474742,"MMR"
8,3642363.9164947937,1050521.441606443,"MMR"
9,1154872.1037561707,578802.8374254822,"MMR"
10,13835.770103943632,104.13926289492434,"MMR"
11,3549394.2986070523,2525294.430827163,"MMR"
12,9560760.680418119,6086822.784823729,"MMR"
13,15575550.85206728,11054612.049446654,"MMR"
14,4130089.335733669,3747533.1722080433,"MMR"
15,955550.860108903,127539.21526257871,"MMR"
