"adm1","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","iso","umd_tree_cover_loss__year"
1,125946.01012700507,607.7067370554698,230901.01856617592,"MMR",2001
2,247120.05882321336,1175.617327003935,453053.44117589114,"MMR",2001
3,966401.3899408969,4303.954175836037,1771735.8815583107,"MMR",2001
4,1629168.0702534907,7021.944368261151,2986808.1287980666,"MMR",2001
5,84833.28452264889,330.78931287407954,155527.68829152294,"MMR",2001
6,590608.5090759061,2425.1070916652975,1082782.2666391612,"MMR",2001
7,107787.62600214679,495.14397278313106,197610.64767060246,"MMR",2001
8,102970.87037194193,471.86376098550113,188779.92901522684,"MMR",2001
9,148764.5793093596,740.6720682253172,272735.0620671592,"MMR",2001
10,29.8082395850631,0.217579265434036,54.64843923928234,"MMR",2001
11,560027.3363392765,3243.1924138151726,1026716.7832886735,"MMR",2001
12,1685426.0248716495,7474.929673663511,3089947.71226469,"MMR",2001
13,2716430.16584226,12028.782727587091,4980121.970710809,"MMR",2001
14,968630.6571175376,4414.514934408441,1775822.8713821517,"MMR",2001
15,14070.903920033606,69.80298387638526,25796.657186728276,"MMR",2001
1,132497.66779692346,625.6187288653911,242912.3909610263,"MMR",2002
2,438378.0320151957,2078.5708102891977,803693.0586945254,"MMR",2002
3,1460512.5866345146,6376.014060248108,2677606.4088299433,"MMR",2002
4,1551357.3682265382,6947.351459168232,2844155.175081987,"MMR",2002
5,153328.06957202972,623.209295628614,281101.4608820545,"MMR",2002
6,783600.9346796877,3168.5886101173323,1436601.7135794275,"MMR",2002
7,248936.60422552505,1182.6260642491454,456383.7744134626,"MMR",2002
8,114048.04072226616,555.0615724504347,209088.07465748797,"MMR",2002
9,119716.00249956253,590.5850844547468,219479.3379158646,"MMR",2002
11,504664.3784162429,3441.2604002507906,925218.0270964453,"MMR",2002
12,1904320.8804979378,8418.839738183733,3491254.947579552,"MMR",2002
13,5057039.66406361,23252.551789425353,9271239.384116618,"MMR",2002
14,1989179.7236912902,8768.008359285697,3646829.4934340315,"MMR",2002
15,16442.344806525412,91.39473546436999,30144.298811963254,"MMR",2002
1,88854.82612329136,455.42009073267974,162900.5145593675,"MMR",2003
2,414452.9141102439,1937.0701782826363,759830.3425354473,"MMR",2003
3,1356807.7157920385,5973.313994378621,2487480.8122854037,"MMR",2003
4,2197535.906134397,9850.419821293657,4028815.827913061,"MMR",2003
5,242973.69777915746,966.7387665383288,445451.7792617886,"MMR",2003
6,1018598.4194193445,4262.496317621652,1867430.4356021315,"MMR",2003
7,377668.1347406209,1846.2420707594488,692391.5803578049,"MMR",2003
8,191179.581299912,934.8627596294743,350495.8990498387,"MMR",2003
9,99652.26187241808,521.2391594276895,182695.81343276647,"MMR",2003
10,18.928603121440286,0.1450452664149223,34.702439055973855,"MMR",2003
11,482651.9203190991,2986.2488891404323,884861.8539183483,"MMR",2003
12,2252078.831321613,9820.9689745038,4128811.1907562907,"MMR",2003
13,6844288.9692117665,31292.05430839471,12547863.11022157,"MMR",2003
14,1482822.4286729847,6193.460350215548,2718507.7859004713,"MMR",2003
15,30469.99654169805,183.7836875226638,55861.660326446436,"MMR",2003
1,140563.43379971234,678.4916761446827,257699.62863280595,"MMR",2004
2,978618.1592590173,4611.238584090088,1794133.2919748654,"MMR",2004
3,1818369.269862713,7978.931926063463,3333676.994748307,"MMR",2004
4,2602421.5399716254,11299.13651296527,4771106.156614646,"MMR",2004
5,287339.838725235,1253.0850903605128,526789.7043295975,"MMR",2004
6,1667937.8823071793,7378.2890302886035,3057886.117563162,"MMR",2004
7,419175.17850537656,1992.929343529656,768487.827259857,"MMR",2004
8,224693.25283204584,1073.4429831112288,411937.63019208395,"MMR",2004
9,293713.13664260844,1459.2567090208718,538474.0838447822,"MMR",2004
10,32.1288499748754,0.21757761824323957,58.90289162060489,"MMR",2004
11,753959.8544967147,4944.675184693694,1382259.7332439767,"MMR",2004
12,2436593.8818526897,11048.690260141047,4467088.783396597,"MMR",2004
13,6657981.318890703,30910.585940070563,12206299.084632955,"MMR",2004
14,4030213.4698346406,17088.27797401578,7388724.69469684,"MMR",2004
15,90762.37806833908,469.0747929717012,166397.69312528832,"MMR",2004
1,249743.8040618574,1151.270135693639,457863.6407800717,"MMR",2005
2,359320.1452348895,1734.5607918787136,658753.5995972975,"MMR",2005
3,1377272.9221361962,6027.373032248713,2525000.357249693,"MMR",2005
4,2997414.77835015,13084.349897853492,5495260.426975274,"MMR",2005
5,66786.38170442698,264.5739833207238,122441.69979144947,"MMR",2005
6,692599.1786487512,3054.209547637422,1269765.160856044,"MMR",2005
7,502738.7437975393,2375.94844260053,921687.6969621555,"MMR",2005
8,264949.62667883816,1249.3295638640375,485740.98224453663,"MMR",2005
9,223099.52196339125,1182.9861352897626,409015.79026621726,"MMR",2005
10,189.62163670160916,1.3052388452082182,347.6396672862834,"MMR",2005
11,712180.3695029637,4536.267602415254,1305664.0107554335,"MMR",2005
12,3045786.0724809133,13821.390567497503,5583941.132881674,"MMR",2005
13,5190542.576103348,23052.927634157135,9515994.722856138,"MMR",2005
